Place,County,StateCode,Population,ViolentCrime,PropertyCrime,SocietalCrime
stokes,pitt,nc,173542,946,1120,272
stokesdale,guilford,nc,546101,1324,1775,1518
stoneville,rockingham,nc,1318,12,42,52
stonewall,pamlico,nc,12381,194,285,423
stony_point,alexander,nc,36512,305,607,252
stovall,granville,nc,61903,202,731,152
sugar_mountain,avery,nc,376,0,1,0
summerfield,guilford,nc,546101,1324,1775,1518
sunbury,gates,nc,10383,48,126,67
sunset_beach,brunswick,nc,153064,1479,1697,1271
surf_city,pender,nc,4338,102,161,43
swan_quarter,hyde,nc,,,,
swannanoa,buncombe,nc,273589,884,2001,508
swansboro,onslow,nc,3920,21,126,23
swepsonville,alamance,nc,176353,1053,1181,905
sylva,jackson,nc,2633,65,236,142
tabor_city,columbus,nc,3646,28,153,50
tar_heel,bladen,nc,,,,
tarboro,edgecombe,nc,48301,182,487,98
taylorsville,alexander,nc,2328,32,60,111
taylortown,moore,nc,105531,470,850,685
teachey,duplin,nc,48990,421,1100,445
thomasville,davidson,nc,172586,333,2013,259
toast,surry,nc,71403,310,999,221
tobaccoville,forsyth,nc,389157,3212,2478,1418
topsail_beach,pender,nc,1001,12,29,15
trent_woods,craven,nc,100874,644,961,642
trenton,jones,nc,,,,
trinity,randolph,nc,146043,665,1569,520
troutman,iredell,nc,3889,101,169,145
troy,montgomery,nc,2915,34,137,90
tryon,polk,nc,1584,5,69,6
turkey,sampson,nc,,,,
tyro,davidson,nc,172586,333,2013,259
unionville,union,nc,249070,1405,2510,729
valdese,burke,nc,4663,22,108,16
valle_crucis,watauga,nc,55089,98,364,188
valley_hill,henderson,nc,118106,607,1439,844
vanceboro,craven,nc,100874,644,961,642
vandemere,pamlico,nc,12381,194,285,423
vander,cumberland,nc,,,,
vann_crossroads,sampson,nc,,,,
varnamtown,brunswick,nc,153064,1479,1697,1271
vass,moore,nc,1003,9,33,3
waco,cleveland,nc,100670,473,988,483
wade,cumberland,nc,5036,513,744,140
wadesboro,anson,nc,5036,513,744,140
wagram,scotland,nc,34162,247,690,210
wake_forest,wake,nc,51385,336,952,523
wakulla,robeson,nc,116663,1414,3966,168
walkertown,forsyth,nc,389157,3212,2478,1418
wallace,duplin,nc,3296,88,281,58
wallburg,davidson,nc,172586,333,2013,259
walnut_cove,stokes,nc,,,,
walnut_creek,wayne,nc,117286,894,1670,635
walstonburg,greene,nc,20211,128,418,46
wanchese,dare,nc,37956,207,354,525
warrenton,warren,nc,861,37,125,11
warsaw,duplin,nc,2668,68,205,81
washington,beaufort,nc,9614,312,415,274
washington_park,beaufort,nc,,,,
watha,pender,nc,65737,382,1042,307
waves,dare,nc,37956,207,354,525
waxhaw,union,nc,22613,76,345,207
waynesville,haywood,nc,10225,218,622,365
weaverville,buncombe,nc,4689,10,195,53
webster,jackson,nc,42955,387,611,293
weddington,union,nc,249070,1405,2510,729
welcome,davidson,nc,172586,333,2013,259
weldon,halifax,nc,1414,20,115,14
wendell,wake,nc,13408,70,214,63
wentworth,rockingham,nc,91957,196,910,129
wesley_chapel,union,nc,249070,1405,2510,729
west_canton,haywood,nc,62609,359,1091,510
west_jefferson,ashe,nc,1237,24,132,155
west_marion,mcdowell,nc,44753,243,971,308
westport,lincoln,nc,93095,772,1618,839
whispering_pines,moore,nc,5235,8,65,33
white_lake,bladen,nc,,,,
white_oak,bladen,nc,,,,
white_plains,surry,nc,71403,310,999,221
whiteville,columbus,nc,4630,185,655,73
whitsett,guilford,nc,546101,1324,1775,1518
wilkesboro,wilkes,nc,4215,62,206,139
williamston,martin,nc,5047,244,436,229
wilmington,new_hanover,nc,119159,2168,5705,2200
wilson,wilson,nc,47518,615,2134,914
wilson's_mills,johnston,nc,234778,754,2737,709
windsor,bertie,nc,3304,10,60,36
winfall,perquimans,nc,13210,93,244,107
wingate,union,nc,249070,1405,2510,729
winston-salem,forsyth,nc,251295,10867,15666,6231
winterville,pitt,nc,10725,101,176,468
winton,hertford,nc,20875,31,235,63
woodfin,buncombe,nc,8097,54,153,85
woodland,northampton,nc,534,2,8,8
woodlawn,alamance,nc,176353,1053,1181,905
wrightsboro,new_hanover,nc,234921,857,2202,1513
wrightsville_beach,new_hanover,nc,2396,74,153,54
yadkinville,yadkin,nc,37463,399,508,217
yanceyville,caswell,nc,,,,
youngsville,franklin,nc,2197,11,67,13
zebulon,wake,nc,9003,229,471,192
abercrombie,richland,nd,16580,44,86,127
adams,walsh,nd,10438,54,83,85
alamo,williams,nd,38109,111,215,251
alexander,mckenzie,nd,13908,84,142,164
alice,cass,nd,192734,147,236,285
almont,morton,nd,33710,83,139,64
alsen,cavalier,nd,3597,23,21,18
ambrose,divide,nd,2187,13,17,21
amenia,cass,nd,192734,147,236,285
amidon,slope,nd,672,0,1,0
anamoose,mchenry,nd,5189,52,75,44
aneta,nelson,nd,2995,21,36,22
antler,bottineau,nd,6376,29,97,27
ardoch,walsh,nd,10438,54,83,85
argusville,cass,nd,192734,147,236,285
arnegard,mckenzie,nd,13908,84,142,164
arthur,cass,nd,192734,147,236,285
ashley,mcintosh,nd,2475,11,28,6
ayr,cass,nd,192734,147,236,285
balfour,mchenry,nd,5189,52,75,44
balta,pierce,nd,3942,7,25,5
bantry,mchenry,nd,5189,52,75,44
barney,richland,nd,16580,44,86,127
bathgate,pembina,nd,6763,31,51,34
beach,golden_valley,nd,1744,19,14,3
belcourt,rolette,nd,11933,22,62,34
belfield,stark,nd,32803,54,123,100
benedict,mclean,nd,9824,72,133,152
berlin,lamoure,nd,4098,9,8,4
berthold,ward,nd,463,2,2,48
beulah,mercer,nd,3032,30,51,93
binford,griggs,nd,2252,12,14,3
bisbee,towner,nd,2064,14,19,21
bismarck,burleigh,nd,74604,1507,3728,1516
blacktail,williams,nd,38109,111,215,251
blanchard_cdp,traill,nd,7958,39,77,14
bottineau,bottineau,nd,6376,29,97,27
bowbells,burke,nd,2155,7,10,13
bowdon,wells,nd,3930,8,13,10
bowman,bowman,nd,1394,24,34,16
braddock,emmons,nd,3250,24,79,19
briarwood,cass,nd,192734,147,236,285
brinsmade,benson,nd,5770,32,48,65
brocket,ramsey,nd,11515,25,46,58
brooktree_park,cass,nd,192734,147,236,285
buchanan,stutsman,nd,21487,28,52,95
bucyrus,adams,nd,2115,19,17,30
buffalo,cass,nd,192734,147,236,285
burlington,ward,nd,1255,4,7,16
butte,mclean,nd,9824,72,133,152
buxton,traill,nd,7958,39,77,14
caledonia_cdp,traill,nd,7958,39,77,14
calio,cavalier,nd,3597,23,21,18
calvin,cavalier,nd,3597,23,21,18
cando,towner,nd,2064,14,19,21
cannon_ball_cdp,sioux,nd,3711,1,2,5
carpio,ward,nd,68870,144,172,263
carrington,foster,nd,2029,19,8,21
carson,grant,nd,,,,
casselton,cass,nd,192734,147,236,285
cathay,wells,nd,3930,8,13,10
cavalier,pembina,nd,1228,8,12,4
cayuga,sargent,nd,3795,15,19,3
center,oliver,nd,1856,2,6,19
christine,richland,nd,16580,44,86,127
churchs_ferry,ramsey,nd,11515,25,46,58
cleveland,stutsman,nd,21487,28,52,95
clifford,traill,nd,7958,39,77,14
cogswell,sargent,nd,3795,15,19,3
coleharbor,mclean,nd,9824,72,133,152
colfax,richland,nd,16580,44,86,127
columbus,burke,nd,2155,7,10,13
conway,walsh,nd,10438,54,83,85
cooperstown,griggs,nd,2252,12,14,3
courtenay,stutsman,nd,21487,28,52,95
crary,ramsey,nd,11515,25,46,58
crosby,divide,nd,2187,13,17,21
crystal,pembina,nd,6763,31,51,34
dahlen_cdp,nelson,nd,2995,21,36,22
davenport,cass,nd,192734,147,236,285
dawson,kidder,nd,2393,5,13,1
dazey,barnes,nd,10758,17,20,44
de_lamere,sargent,nd,3795,15,19,3
deering,mchenry,nd,5189,52,75,44
denhoff_cdp,sheridan,nd,1295,13,30,9
des_lacs,ward,nd,68870,144,172,263
dickey,lamoure,nd,4098,9,8,4
dickinson,stark,nd,24577,316,774,357
dodge,dunn,nd,4015,32,26,54
donnybrook,ward,nd,68870,144,172,263
douglas,ward,nd,68870,144,172,263
drake,mchenry,nd,5189,52,75,44
drayton,pembina,nd,737,4,9,1
driscoll_cdp,burleigh,nd,99280,150,238,538
dunn_center,dunn,nd,4015,32,26,54
dunseith,rolette,nd,624,8,9,7
dwight,richland,nd,16580,44,86,127
east_dunseith,rolette,nd,11933,22,62,34
east_fairview,mckenzie,nd,13908,84,142,164
edgeley,lamoure,nd,4098,9,8,4
edinburg,walsh,nd,10438,54,83,85
edmore,ramsey,nd,11515,25,46,58
egeland,towner,nd,2064,14,19,21
elgin,grant,nd,,,,
ellendale,dickey,nd,1067,5,8,0
elliott,ransom,nd,5640,26,33,21
embden,cass,nd,192734,147,236,285
emerado,grand_forks,nd,449,11,22,2
enderlin,ransom,nd,5640,26,33,21
englevale,ransom,nd,5640,26,33,21
epping,williams,nd,38109,111,215,251
erie_cdp,cass,nd,192734,147,236,285
esmond,benson,nd,5770,32,48,65
fairdale,walsh,nd,10438,54,83,85
fairmount,richland,nd,16580,44,86,127
fargo,cass,nd,127649,3903,7758,2020
fessenden,wells,nd,3930,8,13,10
fingal,barnes,nd,10758,17,20,44
finley,steele,nd,1788,10,4,3
flasher,morton,nd,33710,83,139,64
flaxton,burke,nd,2155,7,10,13
forbes,dickey,nd,4923,1,3,3
fordville,walsh,nd,10438,54,83,85
forest_river,walsh,nd,10438,54,83,85
forman,sargent,nd,3795,15,19,3
fort_ransom,ransom,nd,5640,26,33,21
fort_totten,benson,nd,5770,32,48,65
fort_yates,sioux,nd,3711,1,2,5
fortuna,divide,nd,2187,13,17,21
four_bears_village,mckenzie,nd,13908,84,142,164
foxholm_cdp,ward,nd,68870,144,172,263
fredonia,logan,nd,1855,1,3,3
frontier,cass,nd,192734,147,236,285
fullerton,dickey,nd,4923,1,3,3
gackle,logan,nd,1855,1,3,3
galesburg,traill,nd,7958,39,77,14
gardena,bottineau,nd,6376,29,97,27
gardner,cass,nd,192734,147,236,285
garrison,mclean,nd,1435,15,12,5
gascoyne,bowman,nd,2894,5,7,4
gilby,grand_forks,nd,72413,136,186,257
gladstone,stark,nd,32803,54,123,100
glen_ullin,morton,nd,33710,83,139,64
glenburn,renville,nd,2220,22,22,0
glenfield,foster,nd,3378,5,6,1
golden_valley,mercer,nd,8333,13,23,47
golva,golden_valley,nd,1744,19,14,3
goodrich,sheridan,nd,1295,13,30,9
grace_city,foster,nd,3378,5,6,1
grafton,walsh,nd,4117,69,103,19
grand_forks,grand_forks,nd,58620,1079,2734,796
grand_forks_afb,grand_forks,nd,72413,136,186,257
grandin,cass,nd,192734,147,236,285
grano,renville,nd,2220,22,22,0
granville,mchenry,nd,5189,52,75,44
great_bend,richland,nd,16580,44,86,127
green_acres,rolette,nd,11933,22,62,34
grenora,williams,nd,38109,111,215,251
gwinner,sargent,nd,3795,15,19,3
hague,emmons,nd,3250,24,79,19
halliday,dunn,nd,4015,32,26,54
hamberg,wells,nd,3930,8,13,10
hamilton,pembina,nd,6763,31,51,34
hampden,ramsey,nd,11515,25,46,58
hankinson,richland,nd,16580,44,86,127
hannaford,griggs,nd,2252,12,14,3
hannah,cavalier,nd,3597,23,21,18
hansboro,towner,nd,2064,14,19,21
harmon,morton,nd,33710,83,139,64
harvey,wells,nd,1586,20,16,1
harwood,cass,nd,192734,147,236,285
hatton,traill,nd,7958,39,77,14
havana,sargent,nd,3795,15,19,3
haynes,adams,nd,2115,19,17,30
hazelton,emmons,nd,3250,24,79,19
hazen,mercer,nd,2271,6,4,7
hebron,morton,nd,33710,83,139,64
heil,grant,nd,,,,
heimdal_cdp,wells,nd,3930,8,13,10
hettinger,adams,nd,2115,19,17,30
hillsboro,traill,nd,7958,39,77,14
hoople,walsh,nd,10438,54,83,85
hope,steele,nd,1788,10,4,3
horace,cass,nd,192734,147,236,285
hunter,cass,nd,192734,147,236,285
hurdsfield,wells,nd,3930,8,13,10
inkster,grand_forks,nd,72413,136,186,257
jamestown,stutsman,nd,15772,249,509,98
jessie,griggs,nd,2252,12,14,3
jud,lamoure,nd,4098,9,8,4
karlsruhe,mchenry,nd,5189,52,75,44
kathryn,barnes,nd,10758,17,20,44
kenmare,ward,nd,912,5,9,0
kensal,stutsman,nd,21487,28,52,95
kief,mchenry,nd,5189,52,75,44
killdeer,dunn,nd,892,17,27,12
kindred,cass,nd,192734,147,236,285
knox,benson,nd,5770,32,48,65
kramer,bottineau,nd,6376,29,97,27
kulm,lamoure,nd,4098,9,8,4
lakota,nelson,nd,2995,21,36,22
lamoure,lamoure,nd,4098,9,8,4
landa,bottineau,nd,6376,29,97,27
langdon,cavalier,nd,3597,23,21,18
lankin,walsh,nd,10438,54,83,85
lansford,bottineau,nd,6376,29,97,27
larimore,grand_forks,nd,72413,136,186,257
lawton,ramsey,nd,11515,25,46,58
leal,barnes,nd,10758,17,20,44
leeds,benson,nd,5770,32,48,65
lehr,mcintosh,nd,2475,11,28,6
leith,grant,nd,,,,
leonard,cass,nd,192734,147,236,285
lidgerwood,richland,nd,16580,44,86,127
lignite,burke,nd,2155,7,10,13
lincoln,burleigh,nd,4387,71,80,103
linton,emmons,nd,3250,24,79,19
lisbon,ransom,nd,2177,27,27,6
litchville,barnes,nd,10758,17,20,44
logan_cdp,ward,nd,68870,144,172,263
loma,cavalier,nd,3597,23,21,18
ludden,dickey,nd,4923,1,3,3
luverne,steele,nd,1788,10,4,3
maddock,benson,nd,5770,32,48,65
makoti,ward,nd,68870,144,172,263
mandan,morton,nd,24666,537,1291,314
mandaree,mckenzie,nd,13908,84,142,164
manning_cdp,dunn,nd,4015,32,26,54
mantador,richland,nd,16580,44,86,127
manvel,grand_forks,nd,72413,136,186,257
mapleton,cass,nd,192734,147,236,285
marion,lamoure,nd,4098,9,8,4
marmarth,slope,nd,672,0,1,0
martin,sheridan,nd,1295,13,30,9
max,mclean,nd,9824,72,133,152
maxbass,bottineau,nd,6376,29,97,27
mayville,traill,nd,7958,39,77,14
mcclusky,sheridan,nd,1295,13,30,9
mchenry,foster,nd,3378,5,6,1
mcleod,ransom,nd,5640,26,33,21
mcville,nelson,nd,2995,21,36,22
medina,stutsman,nd,21487,28,52,95
medora,billings,nd,119,0,1,0
menoken_cdp,burleigh,nd,99280,150,238,538
mercer,mclean,nd,9824,72,133,152
milnor,sargent,nd,3795,15,19,3
milton,cavalier,nd,3597,23,21,18
minnewaukan,benson,nd,5770,32,48,65
minot,ward,nd,47278,548,762,606
minot_afb,ward,nd,68870,144,172,263
minto,walsh,nd,10438,54,83,85
mohall,renville,nd,2220,22,22,0
monango,dickey,nd,4923,1,3,3
montpelier,stutsman,nd,21487,28,52,95
mooreton,richland,nd,16580,44,86,127
mott,hettinger,nd,2406,17,21,12
mountain,pembina,nd,6763,31,51,34
munich,cavalier,nd,3597,23,21,18
mylo,rolette,nd,11933,22,62,34
napoleon,logan,nd,752,4,3,3
nash_cdp,walsh,nd,10438,54,83,85
neche,pembina,nd,6763,31,51,34
nekoma,cavalier,nd,3597,23,21,18
new_england,hettinger,nd,2406,17,21,12
new_leipzig,grant,nd,,,,
new_rockford,eddy,nd,2314,11,28,9
new_salem,morton,nd,33710,83,139,64
new_town,mountrail,nd,2713,15,7,86
newburg,bottineau,nd,6376,29,97,27
niagara,grand_forks,nd,72413,136,186,257
nome,barnes,nd,10758,17,20,44
noonan,divide,nd,2187,13,17,21
north_river,cass,nd,192734,147,236,285
northwood,grand_forks,nd,946,1,3,1
oakes,dickey,nd,1778,6,9,4
oberon,benson,nd,5770,32,48,65
oriska,barnes,nd,10758,17,20,44
osnabrock,cavalier,nd,3597,23,21,18
overly,bottineau,nd,6376,29,97,27
oxbow,cass,nd,192734,147,236,285
page,cass,nd,192734,147,236,285
palermo,mountrail,nd,9290,32,106,58
park_river,walsh,nd,10438,54,83,85
parshall,mountrail,nd,9290,32,106,58
pekin,nelson,nd,2995,21,36,22
pembina,pembina,nd,6763,31,51,34
perth,towner,nd,2064,14,19,21
petersburg,nelson,nd,2995,21,36,22
pettibone,kidder,nd,2393,5,13,1
pick_city,mercer,nd,8333,13,23,47
pillsbury,barnes,nd,10758,17,20,44
pingree,stutsman,nd,21487,28,52,95
pisek,walsh,nd,10438,54,83,85
plaza,mountrail,nd,9290,32,106,58
porcupine,sioux,nd,3711,1,2,5
portal,burke,nd,2155,7,10,13
portland,traill,nd,7958,39,77,14
powers_lake,burke,nd,377,1,6,1
prairie_rose,cass,nd,192734,147,236,285
raleigh_cdp,grant,nd,,,,
ray,williams,nd,737,4,9,1
reeder,adams,nd,2115,19,17,30
regan,burleigh,nd,99280,150,238,538
regent,hettinger,nd,2406,17,21,12
reynolds,traill,nd,7958,39,77,14
rhame,bowman,nd,2894,5,7,4
richardton,stark,nd,32803,54,123,100
riverdale,mclean,nd,9824,72,133,152
robinson,kidder,nd,2393,5,13,1
rogers,barnes,nd,10758,17,20,44
rolette,rolette,nd,478,7,18,7
rolla,rolette,nd,1173,10,17,0
ross,mountrail,nd,9290,32,106,58
rugby,pierce,nd,2505,15,37,7
ruthville,ward,nd,68870,144,172,263
rutland,sargent,nd,3795,15,19,3
ryder,ward,nd,68870,144,172,263
sanborn,barnes,nd,10758,17,20,44
sarles,cavalier,nd,3597,23,21,18
sawyer,ward,nd,68870,144,172,263
scranton,bowman,nd,2894,5,7,4
selfridge,sioux,nd,3711,1,2,5
selz,pierce,nd,3942,7,25,5
sentinel_butte,golden_valley,nd,1744,19,14,3
sharon,steele,nd,1788,10,4,3
sheldon,ransom,nd,5640,26,33,21
shell_valley_cdp,rolette,nd,11933,22,62,34
sherwood,renville,nd,2220,22,22,0
sheyenne,eddy,nd,2314,11,28,9
sibley,barnes,nd,10758,17,20,44
solen,sioux,nd,3711,1,2,5
souris,bottineau,nd,6376,29,97,27
south_heart,stark,nd,32803,54,123,100
spiritwood_lake,stutsman,nd,21487,28,52,95
springbrook,williams,nd,38109,111,215,251
st._john,rolette,nd,11933,22,62,34
st._thomas,pembina,nd,6763,31,51,34
stanley,mountrail,nd,2327,23,16,21
stanton,mercer,nd,8333,13,23,47
starkweather,ramsey,nd,11515,25,46,58
steele,kidder,nd,657,10,11,1
strasburg,emmons,nd,3250,24,79,19
streeter,stutsman,nd,21487,28,52,95
surrey,ward,nd,1343,3,5,28
sutton,griggs,nd,2252,12,14,3
sykeston,wells,nd,3930,8,13,10
tappen,kidder,nd,2393,5,13,1
taylor,stark,nd,32803,54,123,100
thompson,grand_forks,nd,1086,2,3,0
tioga,williams,nd,1922,15,33,14
tolley,renville,nd,2220,22,22,0
tolna,nelson,nd,2995,21,36,22
tower_city,cass,nd,192734,147,236,285
towner,mchenry,nd,5189,52,75,44
trenton,williams,nd,38109,111,215,251
turtle_lake,mclean,nd,9824,72,133,152
tuttle,kidder,nd,2393,5,13,1
underwood,mclean,nd,9824,72,133,152
upham,mchenry,nd,5189,52,75,44
valley_city,barnes,nd,6547,129,202,135
velva,mchenry,nd,5189,52,75,44
venturia,mcintosh,nd,2475,11,28,6
verona,lamoure,nd,4098,9,8,4
voltaire,mchenry,nd,5189,52,75,44
wahpeton,richland,nd,7956,81,295,73
walcott,richland,nd,16580,44,86,127
wales,cavalier,nd,3597,23,21,18
walhalla,pembina,nd,6763,31,51,34
warwick,benson,nd,5770,32,48,65
washburn,mclean,nd,9824,72,133,152
watford_city,mckenzie,nd,5513,174,223,141
west_fargo,cass,nd,39987,404,867,349
westhope,bottineau,nd,6376,29,97,27
wheatland_cdp,cass,nd,192734,147,236,285
white_earth,mountrail,nd,9290,32,106,58
white_shield,mclean,nd,9824,72,133,152
wildrose,williams,nd,38109,111,215,251
williston,williams,nd,25513,660,988,998
willow_city,bottineau,nd,6376,29,97,27
wilton,mclean,nd,9824,72,133,152
wimbledon,barnes,nd,10758,17,20,44
wing,burleigh,nd,99280,150,238,538
wishek,mcintosh,nd,852,3,3,6
wolford,pierce,nd,3942,7,25,5
woodworth,stutsman,nd,21487,28,52,95
wyndmere,richland,nd,16580,44,86,127
york,benson,nd,5770,32,48,65
ypsilanti_cdp,stutsman,nd,21487,28,52,95
zap,mercer,nd,8333,13,23,47
zeeland,mcintosh,nd,2475,11,28,6
aberdeen,brown,oh,,,,
ada,hardin,oh,5238,24,19,6
adamsville,muskingum,oh,,,,
addyston,hamilton,oh,825037,682,2611,319
adelphi,ross,oh,17508,63,27,25
adena,jefferson,oh,64330,212,111,17
akron,summit,oh,188534,6993,11153,2161
albany,athens,oh,10851,73,288,343
alexandria,licking,oh,181359,597,1342,77
alger,hardin,oh,,,,
alliance,stark,oh,21817,412,821,842
alvordton,williams,oh,,,,
amanda,fairfield,oh,162898,788,1468,415
amberley,hamilton,oh,3801,4,37,88
amelia,clermont,oh,210805,738,1031,439
amesville,athens,oh,58979,143,393,125
amherst,lorain,oh,12993,51,127,77
amsterdam,jefferson,oh,64330,212,111,17
andersonville,ross,oh,76606,622,1237,215
andover,ashtabula,oh,97014,367,713,161
anna,shelby,oh,35167,343,1422,160
ansonia,darke,oh,51529,284,295,118
antioch,monroe,oh,13234,46,36,27
antwerp,paulding,oh,,,,
apple_creek,wayne,oh,116559,344,1011,138
apple_valley,knox,oh,63183,226,370,136
aquilla,geauga,oh,95469,148,126,146
arcadia,hancock,oh,74861,229,373,110
arcanum,darke,oh,51529,284,295,118
archbold,fulton,oh,4484,40,85,24
arlington,hancock,oh,35831,40,692,94
arlington_heights,hamilton,oh,825037,682,2611,319
ashland,ashland,oh,19193,161,487,310
ashley,delaware,oh,226296,391,1592,458
ashtabula,ashtabula,oh,97014,367,713,161
ashville,pickaway,oh,4696,34,72,19
athalia,lawrence,oh,56653,399,487,40
athens,athens,oh,24220,152,779,84
attica,seneca,oh,54632,121,305,31
atwater,portage,oh,161745,449,1081,1151
aurora,portage,oh,17486,24,161,19
austinburg,ashtabula,oh,97014,367,713,161
austintown,mahoning,oh,35462,442,914,136
avon,lorain,oh,25846,75,171,18
avon_lake,lorain,oh,25846,75,171,18
bailey_lakes,ashland,oh,52181,123,115,173
bainbridge_cdp,geauga,oh,95469,148,126,146
bairdstown,wood,oh,131592,199,440,133
ballville,sandusky,oh,,,,
baltic,tuscarawas,oh,91937,331,436,77
baltimore,fairfield,oh,162898,788,1468,415
bannock,belmont,oh,65509,296,180,182
barberton,summit,oh,24840,661,955,289
barnesville,belmont,oh,3955,30,14,21
barnhill,tuscarawas,oh,91937,331,436,77
bascom,seneca,oh,54632,121,305,31
batavia,clermont,oh,1906,14,47,174
batesville,noble,oh,,,,
bay_view,erie,oh,74501,83,98,28
bay_village,cuyahoga,oh,15826,55,100,63
beach_city,stark,oh,372657,883,1859,186
beachwood,cuyahoga,oh,13797,122,639,91
beallsville,monroe,oh,13234,46,36,27
beaver,pike,oh,46749,303,1142,157
beavercreek,greene,oh,46749,303,1142,157
beaverdam,allen,oh,101115,719,981,171
beckett_ridge,butler,oh,388420,401,963,328
bedford,cuyahoga,oh,10736,130,370,18
bedford_heights,cuyahoga,oh,10736,130,370,18
beechwood_trails,licking,oh,181359,597,1342,77
bellaire,belmont,oh,3808,33,31,18
bellbrook,greene,oh,7345,26,72,13
belle_center,logan,oh,46040,154,146,49
belle_valley,noble,oh,,,,
bellefontaine,logan,oh,14065,148,163,155
bellville,richland,oh,1976,8,29,86
belmont,belmont,oh,0,296,180,182
belmore,putnam,oh,,,,
beloit,mahoning,oh,,,,
belpre,washington,oh,6649,61,83,61
bentleyville,cuyahoga,oh,,,,
benton_ridge,hancock,oh,74861,229,373,110
bentonville,adams,oh,27420,44,99,16
berea,cuyahoga,oh,18736,50,115,42
bergholz,jefferson,oh,64330,212,111,17
berkey,lucas,oh,426643,549,1136,105
berlin,holmes,oh,8238,94,159,27
berlin_heights,erie,oh,74501,83,98,28
bethel,clermont,oh,2646,18,31,1
bethesda,belmont,oh,65509,296,180,182
bettsville,seneca,oh,54632,121,305,31
beulah_beach,erie,oh,74501,83,98,28
beverly,washington,oh,1225,6,20,5
bexley,franklin,oh,1321820,691,890,303
blacklick_estates,franklin,oh,1321820,691,890,303
bladensburg,knox,oh,63183,226,370,136
blakeslee,williams,oh,,,,
blanchester,clinton,oh,4234,31,167,19
bloomdale,wood,oh,131592,199,440,133
bloomingburg,fayette,oh,28839,242,398,65
bloomingdale,jefferson,oh,64330,212,111,17
bloomville,seneca,oh,54632,121,305,31
blue_ash,hamilton,oh,13314,92,380,99
blue_jay,hamilton,oh,825037,682,2611,319
bluffton,allen,oh,4256,18,42,4
bolindale,trumbull,oh,200643,119,240,78
bolivar,tuscarawas,oh,91937,331,436,77
boston_heights,summit,oh,535882,692,1832,437
botkins,shelby,oh,47671,116,144,91
bourneville,ross,oh,76606,622,1237,215
bowerston,harrison,oh,14378,53,74,83
bowersville,greene,oh,168456,248,507,90
bowling_green,wood,oh,30730,170,744,272
bradford,miami,oh,110247,326,534,269
bradner,wood,oh,131592,199,440,133
bratenahl,cuyahoga,oh,1399,9,15,19
brecksville,cuyahoga,oh,13466,18,88,10
brecon,hamilton,oh,825037,682,2611,319
bremen,fairfield,oh,162898,788,1468,415
brewster,stark,oh,2107,23,43,21
brice,franklin,oh,1321820,691,890,303
bridgeport,belmont,oh,1559,12,8,34
bridgetown,hamilton,oh,825037,682,2611,319
brilliant,jefferson,oh,64330,212,111,17
brimfield,portage,oh,11450,28,265,23
broadview_heights,cuyahoga,oh,19490,16,61,39
brook_park,cuyahoga,oh,,,,
brookfield_center,trumbull,oh,200643,119,240,78
brooklyn,cuyahoga,oh,11043,125,632,45
brooklyn_heights,cuyahoga,oh,,,,
brookside,belmont,oh,65509,296,180,182
brookville,montgomery,oh,5945,24,56,39
broughton,paulding,oh,,,,
brownsville,licking,oh,181359,597,1342,77
brunswick,medina,oh,35235,133,296,178
bryan,williams,oh,,,,
buchtel,athens,oh,58979,143,393,125
buckeye_lake,licking,oh,2575,39,65,36
buckland,auglaize,oh,45948,55,50,3
bucyrus,crawford,oh,11571,213,316,249
buffalo,guernsey,oh,,,,
buford,highland,oh,43391,217,299,57
burbank,wayne,oh,116559,344,1011,138
burgoon,sandusky,oh,,,,
burkettsville,mercer,oh,42348,45,27,9
burlington,lawrence,oh,56653,399,487,40
burton,geauga,oh,95469,148,126,146
butler,richland,oh,8219,93,497,267
butlerville,warren,oh,249778,320,1211,320
byesville,guernsey,oh,2352,18,33,22
cadiz,harrison,oh,14378,53,74,83
cairo,allen,oh,101115,719,981,171
calcutta,columbiana,oh,100511,225,196,52
caldwell,noble,oh,,,,
caledonia,marion,oh,,,,
cambridge,guernsey,oh,9978,78,86,95
camden,preble,oh,40596,146,158,143
camp_dennison,hamilton,oh,825037,682,2611,319
campbell,mahoning,oh,,,,
canal_fulton,stark,oh,5321,45,100,18
canal_lewisville,coshocton,oh,36571,347,604,164
canal_winchester,franklin,oh,1321820,691,890,303
candlewood_lake,morrow,oh,35339,196,141,14
canfield,mahoning,oh,7551,30,87,201
canton,stark,oh,70070,3686,5705,590
carbon_hill,hocking,oh,27858,315,377,198
cardington,morrow,oh,35339,196,141,14
carey,wyandot,oh,,,,
carlisle,warren,oh,249778,320,1211,320
carroll,fairfield,oh,3101,36,50,54
carrollton,carroll,oh,3101,36,50,54
casstown,miami,oh,110247,326,534,269
castalia,erie,oh,74501,83,98,28
castine,darke,oh,51529,284,295,118
catawba,clark,oh,134831,415,830,68
cecil,paulding,oh,,,,
cedarville,greene,oh,168456,248,507,90
celeryville,huron,oh,,,,
celina,mercer,oh,42348,45,27,9
centerburg,knox,oh,63183,226,370,136
centerville,montgomery,oh,25249,76,423,73
chagrin_falls,cuyahoga,oh,4084,14,66,12
champion_heights,trumbull,oh,200643,119,240,78
chardon,geauga,oh,95469,148,126,146
chatfield,crawford,oh,41522,43,90,91
chauncey,athens,oh,58979,143,393,125
